DT_MEDICAO,HR_MEDICAO,TEM_INS,UMD_INS,RAD_GLO
2022-07-09,0,24.29483773598724,94.68983432611986,47.86118165556661
2022-07-09,100,24.297030870012915,94.67166618823062,16.715741524486475
2022-07-09,200,24.261974439944662,95.01267227796018,-0.22419670293794525
2022-07-09,300,24.24161588327815,95.06881400965855,-10.504099999133132
2022-07-09,400,24.110661264270654,95.92412864884938,-29.65871124719456
2022-07-09,500,23.994951097952637,95.72646905743218,-49.218564316773836
2022-07-09,600,23.870807507911167,96.03930917250683,-46.95754866256601
2022-07-09,700,24.30464268379124,95.6216324814201,40.285447545084196
2022-07-09,800,25.279630839439072,93.42417271714022,354.03122343116434
2022-07-09,900,27.102312176540167,84.0693011077768,961.7492460248826
2022-07-09,1000,28.56272815386872,77.818613820134,1539.220632129723
2022-07-09,1100,29.45177796843012,75.08836868161615,1713.8844408701216
2022-07-09,1200,29.788318212890857,73.36977648820215,1883.6758345334117
2022-07-09,1300,30.326860379562234,71.30029935898503,2064.1092961244753
2022-07-09,1400,29.88038560739168,71.25593560741366,1666.6336433000222
2022-07-09,1500,29.37117789538838,74.83525293425733,1329.5224076920542
2022-07-09,1600,27.237221485599747,83.4207982115359,828.9377177653164
2022-07-09,1700,25.83714912626893,88.61017186650197,333.6463612148473
2022-07-09,1800,25.15227253550183,92.09379247663968,154.14839326632205
2022-07-09,1900,24.70238466220891,94.6042024539018,-29.846403436211403
2022-07-09,2000,24.518928851271546,94.60106457498797,-16.960958031586983
2022-07-09,2100,24.405625878080418,94.67323579000585,65.3497624528843
2022-07-09,2200,24.381640658117263,94.67009791109201,72.09860588804315
2022-07-09,2300,24.37395824073659,94.66696003217818,68.422085235498
